Partial_Entity_Name,State,State_Short,Full_Entity_Name,Match_Status,Matched_Name,Confidence_Score,Match_Stage,Context_Notes,Top_3_Candidates
TOWN OF CAMP VERDE,Arizona,AZ,AZ-TOWN OF CAMP VERDE,Matched,AZ-TOWN OF CAMP VERDE,1.0,exact,,
WHITEFISH BAY SD,Wisconsin,WI,WI-WHITEFISH BAY SD,Matched,WI-WHITEFISH BAY SCHOOL DISTRICT,1.0,exact,,
TOWN OF PRESCOTT VALLEY,Arizona,AZ,AZ-TOWN OF PRESCOTT VALLEY,Matched,AZ-TOWN OF PRESCOTT VALLEY,1.0,exact,,
BENTONVILLE SD,Arkansas,AR,AR-BENTONVILLE SD,Matched,AR-BENTONVILLE SCHOOL DISTRICT,1.0,exact,,
CITY OF CONWAY,Arkansas,AR,AR-CITY OF CONWAY,Matched,AR-CITY OF CONWAY,1.0,exact,,
YAKIMA SD,Washington,WA,WA-YAKIMA SD,Matched,WA-YAKIMA SCHOOL DISTRICT,1.0,exact,,
ALTOONA SD,Wisconsin,WI,WI-ALTOONA SD,Matched,WI-ALTOONA SCHOOL DISTRICT,1.0,exact,,
BELOIT SD,Wisconsin,WI,WI-BELOIT SD,Matched,WI-BELOIT SCHOOL DISTRICT,1.0,exact,,
PIMA COMMUNITY COLLEGE,Arizona,AZ,AZ-PIMA COMMUNITY COLLEGE,Matched,AZ-PIMA COMMUNITY COLLEGE,1.0,exact,,
ONEIDA CITY SD,New York,NY,NY-ONEIDA CITY SD,Matched,NY-ONEIDA CITY SCHOOL DISTRICT,1.0,exact,,
PLEASANTVILLE UNION FREE SD,New York,NY,NY-PLEASANTVILLE UNION FREE SD,Matched,NY-PLEASANTVILLE UNION FREE SCHOOL DISTRICT,1.0,exact,,
ALAMANCE COMMUNITY COLLEGE,North Carolina,NC,NC-ALAMANCE COMMUNITY COLLEGE,Matched,NC-ALAMANCE COMMUNITY COLLEGE,1.0,exact,,
CHARLOTTE-MECKLENBURG SCHOOLS,North Carolina,NC,NC-CHARLOTTE-MECKLENBURG SCHOOLS,Matched,NC-CHARLOTTE MECKLENBURG SCHOOLS,1.0,exact,,
CITY OF DURHAM,North Carolina,NC,NC-CITY OF DURHAM,Matched,NC-CITY OF DURHAM,1.0,exact,,
CITY OF HENDERSONVILLE,North Carolina,NC,NC-CITY OF HENDERSONVILLE,Matched,NC-CITY OF HENDERSONVILLE,1.0,exact,,
CITY OF LENOIR,North Carolina,NC,NC-CITY OF LENOIR,Matched,NC-CITY OF LENOIR,1.0,exact,,
EL CAMINO COLLEGE,California,CA,CA-EL CAMINO COLLEGE,Matched,CA-EL CAMINO COLLEGE,1.0,exact,,
