Partial_Entity_Name,State,State_Short,Full_Entity_Name
AUBURN CITY SCHOOLS,Alabama,AL,AL-AUBURN CITY SCHOOLS
CITY OF ANCHORAGE,Alaksa,AK,AK-CITY OF ANCHORAGE
CITY AND BOROUGH OF JUNEAU,Alaska,AK,AK-CITY AND BOROUGH OF JUNEAU
CITY OF KINGMAN,Arizona,AZ,AZ-CITY OF KINGMAN
CLARKDALE COUNTY,Arizona,AZ,AZ-CLARKDALE COUNTY
NORTHWEST FIRE DISTRICT,Arizona,AZ,AZ-NORTHWEST FIRE DISTRICT
PIMA COMMUNITY COLLEGE,Arizona,AZ,AZ-PIMA COMMUNITY COLLEGE
PIMA JTED,Arizona,AZ,AZ-PIMA JTED
SCOTTSDALE USD,Arizona,AZ,AZ-SCOTTSDALE USD
TOWN OF CAMP VERDE,Arizona,AZ,AZ-TOWN OF CAMP VERDE
TOWN OF PRESCOTT VALLEY,Arizona,AZ,AZ-TOWN OF PRESCOTT VALLEY
YAVAPAI COUNTY,Arizona,AZ,AZ-YAVAPAI COUNTY
YUMA ESD NO 1,Arizona,AZ,AZ-YUMA ESD # 1
BENTONVILLE SD,Arkansas,AR,AR-BENTONVILLE SD
CITY OF BELLA VISTA,Arkansas,AR,AR-CITY OF BELLA VISTA
CITY OF CONWAY,Arkansas,AR,AR-CITY OF CONWAY
CITY OF FAYETTEVILLE,Arkansas,AR,AR-CITY OF FAYETTEVILLE
CITY OF SHERIDAN,Arkansas,AR,AR-CITY OF SHERIDAN
CITY OF SHERWOOD,Arkansas,AR,AR-CITY OF SHERWOOD
CITY OF TEXARKANA,Arkansas,AR,AR-CITY OF TEXARKANA
MONTICELLO SD,Arkansas,AR,AR-MONTICELLO SD
SPRINGDALE SD,Arkansas,AR,AR-SPRINGDALE SD
ANTELOPE VALLEY COMMUNITY COLLEGE DISTRICT,California,CA,CA-ANTELOPE VALLEY COMMUNITY COLLEGE DISTRICT
BELLFLOWER USD,California,CA,CA-BELLFLOWER USD
BONITA USD,California,CA,CA-BONITA USD
BREA OLINDA USD,California,CA,CA-BREA OLINDA USD
BRET HARTE UNION HSD,California,CA,CA-BRET HARTE UNION HSD
BURLINGAME SD,California,CA,CA-BURLINGAME SD
CASTRO VALLEY USD,California,CA,CA-CASTRO VALLEY USD
CENTRAL MARIN FIRE AUTHORITY,California,CA,CA-CENTRAL MARIN FIRE AUTHORITY
CHABOT LAS POSITAS COMMUNITY COLLEGE DISTRICT,California,CA,CA-CHABOT LAS POSITAS COMMUNITY COLLEGE DISTRICT
CITY OF BERKELEY,California,CA,CA-CITY OF BERKELEY
CITY OF FULLERTON,California,CA,CA-CITY OF FULLERTON
CITY OF GILROY,California,CA,CA-CITY OF GILROY
CITY OF HUNTINGTON BEACH,California,CA,CA-CITY OF HUNTINGTON BEACH
CITY OF LAGUNA BEACH,California,CA,CA-CITY OF LAGUNA BEACH
CITY OF MANTECA,California,CA,CA-CITY OF MANTECA
CITY OF ORLAND,California,CA,CA-CITY OF ORLAND
CITY OF PALO ALTO,California,CA,CA-CITY OF PALO ALTO
CITY OF SANTA MONICA,California,CA,CA-CITY OF SANTA MONICA
CITY OF SIGNAL HILL,California,CA,CA-CITY OF SIGNAL HILL
CITY OF SOUTH PASADENA,California,CA,CA-CITY OF S PASADENA
CITY OF VENTURA,California,CA,CA-CITY OF VENTURA
CITY OF WEST SACRAMENTO,California,CA,CA-CITY OF W SACRAMENTO
COAST COMMUNITY COLLEGE DISTRICT,California,CA,CA-COAST COMMUNITY COLLEGE DISTRICT
COLLEGE OF SEQUOIAS,California,CA,CA-COLLEGE OF SEQUOIAS
CONTRA COSTA COMMUNITY COLLEGE DISTRICT,California,CA,CA-CONTRA COSTA COMMUNITY COLLEGE DISTRICT
COSUMNES RIVER COLLEGE,California,CA,CA-COSUMNES RIVER COLLEGE
CYPRESS SD,California,CA,CA-CYPRESS SD
DIXON USD,California,CA,CA-DIXON USD
DOS PALOS ORO LOMA JOINT USD,California,CA,CA-DOS PALOS ORO LOMA JOINT USD
DRY CREEK JOINT ESD,California,CA,CA-DRY CREEK JOINT ESD
EAST WHITTIER SD,California,CA,CA-E WHITTIER SD
EL CAMINO COLLEGE,California,CA,CA-EL CAMINO COLLEGE
EL CENTRO ESD,California,CA,CA-EL CENTRO ESD
EL MONTE UNION HIGH SD,California,CA,CA-EL MONTE UNION HIGH SD
EUREKA UNION SD,California,CA,CA-EUREKA UNION SD
FOLSOM-CORDOVA USD,California,CA,CA-FOLSOM-CORDOVA USD
FOOTHILL-DE ANZA COMMUNITY COLLEGE,California,CA,CA-FOOTHILL-DE ANZA COMMUNITY COLLEGE
GILROY USD,California,CA,CA-GILROY USD
GLENDALE USD,California,CA,CA-GLENDALE USD
GLENDORA USD,California,CA,CA-GLENDORA USD
GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT,California,CA,CA-GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT
HARTNELL COLLEGE,California,CA,CA-HARTNELL COLLEGE
LA CAADA USD,California,CA,CA-LA CAADA USD
LA MESA-SPRING VALLEY SCHOOLS,California,CA,CA-LA MESA-SPRING VALLEY SCHOOLS
LA MESA-SPRING VALLEY SD,California,CA,CA-LA MESA-SPRING VALLEY SD
LAGUNA BEACH USD,California,CA,CA-LAGUNA BEACH USD
LAKEPORT USD,California,CA,CA-LAKEPORT USD
LAWNDALE ELEMENTARY SD,California,CA,CA-LAWNDALE ELEMENTARY SD
LIVERMORE VALLEY JOINT USD,California,CA,CA-LIVERMORE VALLEY JOINT USD
LOS BAOS USD,California,CA,CA-LOS BAOS USD
LOS RIOS COMMUNITY COLLEGE DISTRICT,California,CA,CA-LOS RIOS COMMUNITY COLLEGE DISTRICT
MANTECA USD,California,CA,CA-MANTECA USD
MENDOCINO COAST HEALTH CARE DISTRICT,California,CA,CA-MENDOCINO COAST HEALTH CARE DISTRICT
MODESTO JUNIOR COLLEGE,California,CA,CA-MODESTO JUNIOR COLLEGE
MONTEREY PENINSULA USD,California,CA,CA-MONTEREY PENINSULA USD
MORGAN HILL USD,California,CA,CA-MORGAN HILL USD
MOUNTAIN EMPIRE USD,California,CA,CA-MOUNTAIN EMPIRE USD
MT DIABLO USD,California,CA,CA-MT DIABLO USD
MURRIETA VALLEY USD,California,CA,CA-MURRIETA VALLEY USD
NEWCASTLE ESD,California,CA,CA-NEWCASTLE ESD
OAKLAND USD,California,CA,CA-OAKLAND USD
OAKLEY UNION ELEMENTARY USD,California,CA,CA-OAKLEY UNION ELEMENTARY USD
OAKLEY UNION ESD,California,CA,CA-OAKLEY UNION ESD
OROVILLE UNION HIGH SD,California,CA,CA-OROVILLE UNION HIGH SD
PALM SPRINGS USD,California,CA,CA-PALM SPRINGS USD
PARAMOUNT USD,California,CA,CA-PARAMOUNT USD
PASO ROBLES JOINT USD,California,CA,CA-PASO ROBLES JOINT USD
PLACENTIA-YORBA LINDA USD,California,CA,CA-PLACENTIA-YORBA LINDA USD
POWAY UNIFIED SCHOOL DISTRICT,California,CA,CA-POWAY UNIFIED SCHOOL DISTRICT
REDLANDS USD,California,CA,CA-REDLANDS USD
REDWOOD CITY SD,California,CA,CA-REDWOOD CITY SD
REED UNION SD,California,CA,CA-REED UNION SD
SALINAS CITY ESD,California,CA,CA-SALINAS CITY ESD
SAN BERNARDINO TRANSPORTATION AUTHORITY,California,CA,CA-SAN BERNARDINO TRANSPORTATION AUTHORITY
SAN BERNARDINO COMMUNITY COLLEGE DISTRICT,California,CA,CA-SAN BERNARDINO COMMUNITY COLLEGE DISTRICT
SAN DIEGO COUNTY,California,CA,CA-SAN DIEGO COUNTY
SAN DIEGO USD,California,CA,CA-SAN DIEGO USD
SAN DIEGUITO UNION HIGH SD,California,CA,CA-SAN DIEGUITO UNION HIGH SD
SAN JOS EVERGREEN COMMUNITY COLLEGE,California,CA,CA-SAN JOS EVERGREEN COMMUNITY COLLEGE
SAN MATEO COMMUNITY COLLEGE DISTRICT,California,CA,CA-SAN MATEO COMMUNITY COLLEGE DISTRICT
SAN MATEO COUNTY OFFICE OF EDUCATION,California,CA,CA-SAN MATEO COUNTY OFFICE OF EDUCATION
SAN MATEO-FOSTER CITY SD,California,CA,CA-SAN MATEO-FOSTER CITY SD
SANTA CLARA USD,California,CA,CA-SANTA CLARA USD
SANTA ROSA JUNIOR COLLEGE,California,CA,CA-SANTA ROSA JUNIOR COLLEGE
SIMI VALLEY USD,California,CA,CA-SIMI VALLEY USD
SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT,California,CA,CA-S ORANGE COUNTY COMMUNITY COLLEGE DISTRICT
SULPHUR SPRINGS UNION SD,California,CA,CA-SULPHUR SPRINGS UNION SD
SUMMERVILLE UNION HSD,California,CA,CA-SUMMERVILLE UNION HSD
TEHACHAPI USD,California,CA,CA-TEHACHAPI USD
TEMECULA VALLEY USD,California,CA,CA-TEMECULA VALLEY USD
TOWN OF ROSS,California,CA,CA-TOWN OF ROSS
TRUCKEE DONNER RECREATION AND PARK DISTRICT,California,CA,CA-TRUCKEE DONNER RECREATION AND PARK DISTRICT
TWIN HILLS UNION SD,California,CA,CA-TWIN HILLS UNION SD
UKIAH USD,California,CA,CA-UKIAH USD
UNIVERSITY OF CALIFORNIA DAVIS,California,CA,CA-UNIVERSITY OF CALIFORNIA DAVIS
VACAVILLE USD,California,CA,CA-VACAVILLE USD
VISALIA USD,California,CA,CA-VISALIA USD
WASHINGTON USD,California,CA,CA-WASHINGTON USD
WEST CONTRA COSTA USD,California,CA,CA-W CONTRA COSTA USD
WESTERN PLACER USD,California,CA,CA-WESTERN PLACER USD
WESTMINSTER SD,California,CA,CA-WESTMINSTER SD
YOSEMITE COMMUNITY COLLEGE DISTRICT,California,CA,CA-YOSEMITE COMMUNITY COLLEGE DISTRICT
YOSEMITE USD,California,CA,CA-YOSEMITE USD
ADAMS COUNTY,Colorado,CO,CO-ADAMS COUNTY
ARCHULETA SD,Colorado,CO,CO-ARCHULETA SD
CITY OF AURORA,Colorado,CO,CO-CITY OF AURORA
CITY OF GRAND JUNCTION,Colorado,CO,CO-CITY OF GRAND JUNCTION
COLORADO SPRINGS SD 11,Colorado,CO,CO-COLORADO SPRINGS SD 11
COLORADO STATE UNIVERSITY,Colorado,CO,CO-COLORADO STATE UNIVERSITY
ESTES PARK SD,Colorado,CO,CO-ESTES PARK SD
GREELEY-EVANS SCHOOL DISTRICT 6,Colorado,CO,CO-GREELEY-EVANS SCHOOL DISTRICT 6
JEFFERSON COUNTY,Colorado,CO,CO-JEFFERSON COUNTY
LARIMER COUNTY,Colorado,CO,CO-LARIMER COUNTY
NORTH CONEJOS SD,Colorado,CO,CO-N CONEJOS SD
OURAY SD,Colorado,CO,CO-OURAY SD
SUMMIT SCHOOL DISTRICT,Colorado,CO,CO-SUMMIT SCHOOL DISTRICT
TOWN OF GYPSUM,Colorado,CO,CO-TOWN OF GYPSUM
TOWN OF TIMNATH,Colorado,CO,CO-TOWN OF TIMNATH
WELD COUNTY,Colorado,CO,CO-WELD COUNTY
BRIDGEPORT PUBLIC SCHOOLS,Connecticut,CT,CT-BRIDGEPORT PUBLIC SCHOOLS
MILFORD PUBLIC SCHOOLS,Connecticut,CT,CT-MILFORD PUBLIC SCHOOLS
TOWN OF MADISON,Connecticut,CT,CT-TOWN OF MADISON
TOWN OF WATERTOWN,Connecticut,CT,CT-TOWN OF WATERTOWN
VERNON PUBLIC SCHOOLS,Connecticut,CT,CT-VERNON PUBLIC SCHOOLS
CAPTIVA ISLAND FIRE CONTROL DISTRICT,Florida,FL,FL-CAPTIVA ISLAND FIRE CONTROL DISTRICT
CITY OF BOCA RATON,Florida,FL,FL-CITY OF BOCA RATON
CITY OF ST PETERSBURG,Florida,FL,FL-CITY OF ST PETERSBURG
CITY OF TEMPLE TERRACE,Florida,FL,FL-CITY OF TEMPLE TERRACE
HERNANDO COUNTY SCHOOL DISTRICT,Florida,FL,FL-HERNANDO COUNTY SCHOOL DISTRICT
OSCEOLA COUNTY,Florida,FL,FL-OSCEOLA COUNTY
SARASOTA COUNTY,Florida,FL,FL-SARASOTA COUNTY
UNIVERSITY OF NORTH FLORIDA,Florida,FL,FL-UNIVERSITY OF N FLORIDA
ATHENS-CLARKE COUNTY,Georgia,GA,GA-ATHENS-CLARKE COUNTY
ATLANTA PUBLIC SCHOOLS,Georgia,GA,GA-ATLANTA PUBLIC SCHOOLS
CITY OF AUGUSTA,Georgia,GA,GA-CITY OF AUGUSTA
DECATUR CITY SCHOOLS,Georgia,GA,GA-DECATUR CITY SCHOOLS
FORSYTH COUNTY,Georgia,GA,GA-FORSYTH COUNTY
SPALDING COUNTY,Georgia,GA,GA-SPALDING COUNTY
UNION COUNTY,Georgia,GA,GA-UNION COUNTY
KIMBERLY SD,Idaho,ID,ID-KIMBERLY SD
BALL CHATHAM CUSD5,Illinois,IL,IL-BALL CHATHAM CUSD5
CITY OF BATAVIA,Illinois,IL,IL-CITY OF BATAVIA
CITY OF GENEVA,Illinois,IL,IL-CITY OF GENEVA
CITY OF PROSPECT HEIGHTS,Illinois,IL,IL-CITY OF PROSPECT HEIGHTS
COLLEGE OF DUPAGE,Illinois,IL,IL-COLLEGE OF DUPAGE
DEERFIELD PUBLIC SD 109,Illinois,IL,IL-DEERFIELD PUBLIC SD 109
DUNDEE TOWNSHIP PARK DISTRICT,Illinois,IL,IL-DUNDEE TOWNSHIP PARK DISTRICT
EAST AURORA SCHOOL DISTRICT 131,Illinois,IL,IL-E AURORA SCHOOL DISTRICT 131
EFFINGHAM UNIT 40 SCHOOLS,Illinois,IL,IL-EFFINGHAM UNIT 40 SCHOOLS
EVERGREEN PARK ESD 124,Illinois,IL,IL-EVERGREEN PARK ESD 124
GLENBROOK HSD,Illinois,IL,IL-GLENBROOK HSD
GLENCOE PUBLIC LIBRARY,Illinois,IL,IL-GLENCOE PUBLIC LIBRARY
HIGH SCHOOL DISTRICT 214,Illinois,IL,IL-HIGH SCHOOL DISTRICT 214
LAWRENCE PUBLIC LIBRARY DISTRICT,Illinois,IL,IL-LAWRENCE PUBLIC LIBRARY DISTRICT
LINCOLNWOOD SD 74,Illinois,IL,IL-LINCOLNWOOD SD 74
MORAINE VALLEY COMMUNITY COLLEGE,Illinois,IL,IL-MORAINE VALLEY COMMUNITY COLLEGE
NAPERVILLE PARK DISTRICT,Illinois,IL,IL-NAPERVILLE PARK DISTRICT
OSWEGO CUSD 308,Illinois,IL,IL-OSWEGO CUSD 308
PEORIA COUNTY,Illinois,IL,IL-PEORIA COUNTY
RIVERBEND COMMUNITY UNIT SD,Illinois,IL,IL-RIVERBEND COMMUNITY UNIT SD
ROCKFORD PUBLIC SCHOOLS 205,Illinois,IL,IL-ROCKFORD PUBLIC SCHOOLS 205
SHAWNEE COMMUNITY COLLEGE,Illinois,IL,IL-SHAWNEE COMMUNITY COLLEGE
SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,Illinois,IL,IL-SOUTHERN ILLINOIS UNIVERSITY CARBONDALE
ST CHARLES CLOUD CUSD 303,Illinois,IL,IL-ST CHARLES CLOUD CUSD 303
SUNSET RIDGE SD 29,Illinois,IL,IL-SUNSET RIDGE SD 29
TRI-STATE FIRE PROTECTION DISTRICT,Illinois,IL,IL-TRI-STATE FIRE PROTECTION DISTRICT
VILLAGE OF BROOKFIELD,Illinois,IL,IL-VILLAGE OF BROOKFIELD
VILLAGE OF GLEN CARBON,Illinois,IL,IL-VILLAGE OF GLEN CARBON
VILLAGE OF LA GRANGE PARK,Illinois,IL,IL-VILLAGE OF LA GRANGE PARK
VILLAGE OF RIVERSIDE,Illinois,IL,IL-VILLAGE OF RIVERSIDE
YORKVILLE SD 115,Illinois,IL,IL-YORKVILLE SD 115
YORKVILLE SD 155,Illinois,IL,IL-YORKVILLE SD 155
WESTERN SCHOOL,Indiana,IN,IN-WESTERN SCHOOL
ADAIRCASEY AND GUTHRIE CENTER SD,Iowa,IA,IA-ADAIRCASEY AND GUTHRIE CENTER SD
CENTRAL DEWITT CSD,Iowa,IA,IA-CENTRAL DEWITT CSD
CITY OF BELLEVUE,Iowa,IA,IA-CITY OF BELLEVUE
CITY OF MARION,Iowa,IA,IA-CITY OF MARION
CITY OF URBANDALE,Iowa,IA,IA-CITY OF URBANDALE
COLUMBUS CSD,Iowa,IA,IA-COLUMBUS CSD
DAVENPORT CSD,Iowa,IA,IA-DAVENPORT CSD
EASTON VALLEY CSD,Iowa,IA,IA-EASTON VALLEY CSD
GEORGE-LITTLE ROCK CSD,Iowa,IA,IA-GEORGE-LITTLE ROCK CSD
IOWA CITY CSD,Iowa,IA,IA-IOWA CITY CSD
JOHNSON COUNTY,Iowa,IA,IA-JOHNSON COUNTY
LINN-MAR CSD,Iowa,IA,IA-LINN-MAR CSD
URBANDALE CSD,Iowa,IA,IA-URBANDALE CSD
CITY OF WICHITA,Kansas,KS,KS-CITY OF WICHITA
CLAY COUNTY USD 379,Kansas,KS,KS-CLAY COUNTY USD 379
DE SOTO USD 232,Kansas,KS,KS-DE SOTO USD 232
DERBY PUBLIC SCHOOLS,Kansas,KS,KS-DERBY PUBLIC SCHOOLS
HIAWATHA USD 415,Kansas,KS,KS-HIAWATHA USD 415
JEFFERSON WEST USD 340,Kansas,KS,KS-JEFFERSON W USD 340
JOHNSON COUNTY COMMUNITY COLLEGE,Kansas,KS,KS-JOHNSON COUNTY COMMUNITY COLLEGE
MCPHERSON PUBLIC SCHOOLS,Kansas,KS,KS-MCPHERSON PUBLIC SCHOOLS
MOREHEAD STATE UNIVERSITY,Kansas,KS,KS-MOREHEAD STATE UNIVERSITY
MORRIS COUNTY USD 417,Kansas,KS,KS-MORRIS COUNTY USD 417
NEWTON PUBLIC SCHOOLS,Kansas,KS,KS-NEWTON PUBLIC SCHOOLS
NORTH LYON COUNTY USD 251,Kansas,KS,KS-N LYON COUNTY USD 251
OLATHE PUBLIC SCHOOLS,Kansas,KS,KS-OLATHE PUBLIC SCHOOLS
RUSSELL USD 407,Kansas,KS,KS-RUSSELL USD 407
WELLINGTON USD 353,Kansas,KS,KS-WELLINGTON USD 353
WICHITA SD,Kansas,KS,KS-WICHITA SD
LOGAN COUNTY SCHOOLS,Kentucky,KY,KY-LOGAN COUNTY SCHOOLS
LOUISVILLE AND JEFFERSON RIVERPORT AUTHORITY,Kentucky,KY,KY-LOUISVILLE AND JEFFERSON RIVERPORT AUTHORITY
CALCASIEU PARISH SCHOOLS,Louisiana,LA,LA-CALCASIEU PARISH SCHOOLS
CITY OF NEW ORLEANS,Louisiana,LA,LA-CITY OF NEW ORLEANS
EAST BATON ROUGE PARISH LIBRARY DISTRICT,Louisiana,LA,LA-E BATON ROUGE PARISH LIBRARY DISTRICT
EAST BATON ROUGH SCHOOLS,Louisiana,LA,LA-E BATON ROUGH SCHOOLS
JEFF DAVIS PARISH,Louisiana,LA,LA-JEFF DAVIS PARISH
NATCHITOCHES PARISH SCHOOLS,Louisiana,LA,LA-NATCHITOCHES PARISH SCHOOLS
PLAQUEMINES PARISH PUBLIC SCHOOLS,Louisiana,LA,LA-PLAQUEMINES PARISH PUBLIC SCHOOLS
CITY OF SOUTH PORTLAND,Maine,ME,ME-CITY OF S PORTLAND
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,Maryland,MD,MD-ANNE ARUNDEL COUNTY PUBLIC SCHOOLS
BETHESDA COUNTY PUBLIC SCHOOLS,Maryland,MD,MD-BETHESDA COUNTY PUBLIC SCHOOLS
HAGERSTOWN COMMUNITY COLLEGE,Maryland,MD,MD-HAGERSTOWN COMMUNITY COLLEGE
HOWARD COMMUNITY COLLEGE,Maryland,MD,MD-HOWARD COMMUNITY COLLEGE
PRINCE GEORGES COUNTY PUBLIC SCHOOLS,Maryland,MD,MD-PRINCE GEORGES COUNTY PUBLIC SCHOOLS
TOWSON UNIVERSITY,Maryland,MD,MD-TOWSON UNIVERSITY
